name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
10002,2023-08-09,31,21.1,25.6,30.2,21.1,25.5,14.7,52.4,0.2,100,4.17,rain,0,0,65.7,18.9,279.1,1007,23.7,16,0,0,0,10,2023-08-09T06:00:10,2023-08-09T20:02:14,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-10,27.1,21.3,23.3,28.6,21.3,23.3,18.6,76.1,3.081,100,33.33,rain,0,0,86.8,14.9,237.6,1005.9,56.2,14.4,0,0,0,30,2023-08-10T06:01:08,2023-08-10T20:00:57,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-11,29.2,20,24.5,29.1,20,24.6,17.2,66.4,0,0,0,,0,0,64.7,25,257.5,1008,19.4,15.7,0,0,0,10,2023-08-11T06:02:07,2023-08-11T19:59:39,0.84,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-12,29.4,22.5,25.4,31.5,22.5,26,18.6,66.2,0.534,100,16.67,rain,0,0,38.9,17.4,113.1,1011.9,27.8,15.7,0,0,0,30,2023-08-12T06:03:06,2023-08-12T19:58:20,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-13,31.3,21.1,26.2,32.1,21.1,26.6,19.1,67,3.398,100,16.67,rain,0,0,59,17.6,274.8,1011.7,44.7,15.8,0,0,0,30,2023-08-13T06:04:05,2023-08-13T19:57:00,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-14,31.3,22.9,26,32.2,22.9,26.3,18.1,62.3,0,0,0,,0,0,63,18.9,205.4,1014.3,17,16,0,0,0,10,2023-08-14T06:05:04,2023-08-14T19:55:39,0.94,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-15,27.4,21.6,24.1,29.2,21.6,24.2,20.6,81.9,4.422,100,33.33,rain,0,0,38.9,22.9,42.7,1008.6,91,14.9,0,0,0,10,2023-08-15T06:06:03,2023-08-15T19:54:16,0.97,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,F1417,KNYC,72503014732"
10002,2023-08-16,27.9,21.1,24,29.7,21.1,24.3,20.1,79.7,3.396,100,16.67,rain,0,0,79.6,18.1,74.3,1012.8,85.2,14.9,166.6,14.5,8,10,2023-08-16T06:07:02,2023-08-16T19:52:53,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,72503014732"
10002,2023-08-17,25.6,22.8,23.8,25.6,22.8,23.8,20.4,81.4,0,0,0,rain,0,0,31.7,17.8,89.4,1013.9,97.5,15.8,136.3,11.8,9,30,2023-08-17T06:08:01,2023-08-17T19:51:28,0.04,Overcast,Cloudy skies throughout the day.,cloudy,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,72503014732"
10002,2023-08-18,28,20.5,24.3,27.9,20.5,24.4,17,66.9,4.791,100,16.67,rain,0,0,81.4,24.5,271.2,1007.7,67.3,15.3,227.2,19.6,9,30,2023-08-18T06:09:00,2023-08-18T19:50:03,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
10002,2023-08-19,26.8,17.9,22.4,26.8,17.9,22.4,12.1,52.8,0,0,0,,0,0,49.5,20.6,266.8,1015,23.4,16,0,0,0,10,2023-08-19T06:09:59,2023-08-19T19:48:36,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-20,30.4,19.4,24.9,29.7,19.4,24.8,14.2,52.9,0,0,0,,0,0,29.5,13.1,253.1,1018.8,3.5,16,0,0,0,10,2023-08-20T06:10:58,2023-08-20T19:47:09,0.15,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-21,31.4,22.4,27,33.7,22.4,27.8,18.5,60.5,0,0,0,rain,0,0,73.8,12.6,275.4,1017.3,24.5,15.9,0,0,0,10,2023-08-21T06:11:57,2023-08-21T19:45:41,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-22,26.8,20.8,24,26.8,20.8,24,13.8,53.2,0,0,0,,0,0,39,23.5,35.8,1018.3,36.9,16,0,0,0,10,2023-08-22T06:12:56,2023-08-22T19:44:11,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-23,26.9,20.3,22.8,26.5,20.3,22.8,12,51.6,0,0,0,,0,0,51.8,17,69.7,1020,16.3,16,0,0,0,10,2023-08-23T06:13:55,2023-08-23T19:42:41,0.25,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-24,23.3,19.4,21.6,23.3,19.4,21.6,17,75.5,0.594,100,20.83,rain,0,0,70.2,19.8,158.3,1017.9,98.4,15.3,0,0,0,10,2023-08-24T06:14:53,2023-08-24T19:41:10,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-25,25.7,21.6,23.1,25.7,21.6,23.1,20.8,87.1,1.316,100,25,rain,0,0,64.8,15.1,216.1,1012.1,82,14.1,0,0,0,10,2023-08-25T06:15:52,2023-08-25T19:39:39,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-26,29.7,23,25.5,30.5,23,25.9,20.5,75.6,1.631,100,8.33,rain,0,0,20.5,15.1,335.4,1010.3,53,14.9,0,0,0,30,2023-08-26T06:16:51,2023-08-26T19:38:06,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-27,30.1,21.6,25.2,30.7,21.6,25.4,17.2,62.2,0,0,0,,0,0,55.4,13.7,16.3,1013.1,11.1,16,0,0,0,10,2023-08-27T06:17:50,2023-08-27T19:36:33,0.38,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-28,24.3,21.7,22.6,24.3,21.7,22.6,18.4,77.2,0,0,0,rain,0,0,83.2,14.4,97.8,1017.1,83,15.8,0,0,0,10,2023-08-28T06:18:49,2023-08-28T19:34:59,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-29,25.6,20.6,23,25.6,20.6,23,19,78.7,0.205,100,4.17,rain,0,0,72,19,66.9,1014.1,75.1,15.9,0,0,0,10,2023-08-29T06:19:47,2023-08-29T19:33:25,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-30,29.5,21.8,24.6,29.9,21.8,24.6,18.4,71.8,1.088,100,8.33,rain,0,0,40.7,10.8,279.6,1006.9,59.8,15.4,0,0,0,10,2023-08-30T06:20:46,2023-08-30T19:31:50,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-08-31,25.8,19.2,22.3,25.8,19.2,22.3,11.7,52.7,0,0,0,,0,0,46.6,24.5,29.5,1013.7,3.4,16,0,0,0,10,2023-08-31T06:21:45,2023-08-31T19:30:14,0.52,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-01,25.3,17.6,21.2,25.3,17.6,21.2,10.4,50.8,0,0,0,,0,0,47.9,19.8,55.7,1024.3,1.1,15.9,83,7.2,8,10,2023-09-01T06:22:43,2023-09-01T19:28:38,0.55,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-02,26.5,17.7,21.6,26.5,17.7,21.6,14,62.5,0,0,0,,0,0,59.2,15.3,232.5,1022.1,2.4,15.9,266.5,23,9,10,2023-09-02T06:23:42,2023-09-02T19:27:01,0.59,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-03,32.5,20.7,25.9,33.5,20.7,26.5,17.7,62.4,0,0,0,,0,0,26.5,15,249.5,1014.2,8.4,16,252.1,21.7,9,10,2023-09-03T06:24:40,2023-09-03T19:25:24,0.62,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-04,31.8,23.8,27.3,34.8,23.8,28.4,20,65.1,0.2,100,4.17,rain,0,0,70.2,9.5,299.1,1011.5,16,15.9,167.5,14.6,9,60,2023-09-04T06:25:39,2023-09-04T19:23:46,0.65,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-05,33.5,24.8,28.6,37.2,24.8,30.3,21.2,64.9,0,0,0,,0,0,60.8,10.7,9.4,1013,5.8,15.8,224.8,19.4,9,30,2023-09-05T06:26:37,2023-09-05T19:22:07,0.69,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-06,33.4,25,29,36.7,25,30.6,21.1,63.7,0.605,100,8.33,rain,0,0,73.8,9.3,274.8,1010.6,10.6,15.5,250.5,21.5,8,60,2023-09-06T06:27:36,2023-09-06T19:20:29,0.75,Rain,Clear conditions throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-07,33.5,25.3,28.8,36.9,25.3,30.4,20.6,62.2,0,0,0,,0,0,68.4,16.9,211.8,1009.4,3.6,15.7,232.1,20.1,8,60,2023-09-07T06:28:34,2023-09-07T19:18:50,0.75,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-08,32,23.8,25.8,37.5,23.8,26.8,20.8,74.4,0.517,100,25,rain,0,0,70.2,15.3,32.9,1013.7,40.1,14.5,154.9,13.2,8,75,2023-09-08T06:29:32,2023-09-08T19:17:10,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-09,29.7,23.5,25.4,33.6,23.5,26.1,22,81.8,0.082,100,8.33,rain,0,0,31.7,11.2,336.2,1018.2,74.1,14.5,133,11.6,9,75,2023-09-09T06:30:31,2023-09-09T19:15:30,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-10,26.2,21.1,23.5,26.2,21.1,23.5,20.7,84.4,4.92,100,29.17,rain,0,0,47.9,12.1,39.2,1018.9,55.9,14.1,116.2,9.8,7,30,2023-09-10T06:31:29,2023-09-10T19:13:50,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-11,28,21.6,24.1,30.4,21.6,24.6,21.5,86.1,6.842,100,37.5,rain,0,0,70.2,17.1,53.1,1015.9,82.6,14,121.7,10.4,7,30,2023-09-11T06:32:28,2023-09-11T19:12:10,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-12,29.5,21,24.2,30.5,21,24.4,19.3,75.6,0,0,0,,0,0,76,13,295.9,1015.5,26.8,15.7,150.9,13.2,9,10,2023-09-12T06:33:26,2023-09-12T19:10:29,0.92,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-13,27.4,22.2,24.2,28.5,22.2,24.3,19.8,77.1,0.632,100,20.83,rain,0,0,86.9,15.7,247.4,1013.3,63.7,15.8,115.7,10,7,30,2023-09-13T06:34:25,2023-09-13T19:08:48,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-14,26.7,19.5,22.8,26.7,19.5,22.8,13.2,56.7,0.4,100,8.33,rain,0,0,94.7,16.6,3,1016.8,23.6,15.9,251.3,21.8,8,10,2023-09-14T06:35:23,2023-09-14T19:07:07,0,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-15,22.3,15.8,18.7,22.3,15.8,18.7,10.7,60.2,0,0,0,,0,0,85.1,19.4,31,1017.4,3.5,15.9,176.8,15.2,8,10,2023-09-15T06:36:22,2023-09-15T19:05:26,0.02,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-16,26.1,16.6,20.7,26.1,16.6,20.7,10,51.2,0,0,0,,0,0,63,20.2,285.3,1013,4,15.9,196.6,17.1,8,10,2023-09-16T06:37:20,2023-09-16T19:03:45,0.06,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-17,25.4,16.1,20.6,25.4,16.1,20.6,12.5,61,0.972,100,12.5,rain,0,0,90.7,18.9,254.3,1013.9,27.2,15.2,212.3,18.4,10,10,2023-09-17T06:38:19,2023-09-17T19:02:03,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,F1417,KNYC,72503014732"
10002,2023-09-18,20.5,17.7,19.2,20.5,17.7,19.2,17.7,91.2,4.545,100,62.5,rain,0,0,29.5,13.6,355.7,1008.7,88.3,11.9,30.2,2.6,1,10,2023-09-18T06:39:18,2023-09-18T19:00:22,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-19,24.6,15.5,19.7,24.6,15.5,19.7,12,63.2,0,0,0,,0,0,40.7,20.6,273.8,1013.7,14.5,16,217.9,18.9,8,10,2023-09-19T06:40:17,2023-09-19T18:58:40,0.16,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-20,25.1,15.9,20.5,25.1,15.9,20.5,10.3,53,0,0,0,,0,0,25.9,13.7,273.7,1020.6,6.6,16,231.5,20.1,8,10,2023-09-20T06:41:16,2023-09-20T18:56:59,0.2,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-21,23.5,16.3,20,23.5,16.3,20,11.1,57.3,0,0,0,,0,0,76,18.3,31.6,1024.5,5.1,15.9,232.8,20.1,8,10,2023-09-21T06:42:15,2023-09-21T18:55:17,0.23,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-22,22.9,17.4,19.5,22.9,17.4,19.5,13.1,67.2,0,0,0,,0,0,59.9,27,56.3,1027,24.1,15.9,143.5,12.5,7,10,2023-09-22T06:43:14,2023-09-22T18:53:36,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-23,17.7,15.4,16.3,17.7,15.4,16.3,13.4,83.3,4.343,100,58.33,rain,0,0,55.7,35.2,37.7,1020.2,83.3,12.1,31.8,2.8,2,10,2023-09-23T06:44:13,2023-09-23T18:51:54,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-24,18.8,17.1,17.8,18.8,17.1,17.8,16.5,92,4.815,100,95.83,rain,0,0,49.1,34.8,45.2,1015.4,100,9.7,43,3.7,3,10,2023-09-24T06:45:13,2023-09-24T18:50:13,0.33,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-25,17.9,15.5,16.5,17.9,15.5,16.5,15.1,91.4,2.694,100,79.17,rain,0,0,55.7,38.5,37.2,1017.7,100,8,28.1,2.4,1,10,2023-09-25T06:46:12,2023-09-25T18:48:32,0.37,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-26,16.4,15.1,15.7,16.4,15.1,15.7,12.5,81.5,0.988,100,45.83,rain,0,0,42.5,22.2,34.3,1026.5,96.6,13.1,30,2.4,1,10,2023-09-26T06:47:12,2023-09-26T18:46:51,0.4,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-27,19,12.5,16.1,19,12.5,16.1,9,63.3,0,0,0,,0,0,43.1,27.3,43.7,1027,71.6,15.8,160.2,14,7,10,2023-09-27T06:48:12,2023-09-27T18:45:10,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
10002,2023-09-28,18.7,14.2,16,18.7,14.2,16,12.3,78.8,0.885,100,16.67,rain,0,0,41.5,24.6,39.5,1024.9,94.4,15.5,69.4,5.9,3,10,2023-09-28T06:49:12,2023-09-28T18:43:29,0.47,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
